mode,q_mode,cl,SDSS9,m_SDSS9,objID,Sp-ID,RA_ICRS,DE_ICRS,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,pmRA,pmDE,f_zsp
1,+,6,"J023247.04-030520.1",,1237679255746904074,"4344-55557-0134",38.196027,-3.088936,2008.9753,3,23.982,0.975,22.694,0.131,20.597,0.035,19.597,0.023,19.429,0.063,6.0E-5,-6,-18,0
1,+,3,"J023257.61-030205.9",,1237679255746904726,"4344-55557-0129",38.240057,-3.034998,2008.9753,3,23.646,1.619,22.261,0.182,20.95,0.094,19.686,0.048,19.051,0.095,0.67942,,,0
1,+,3,"J023235.29-025135.4",,1237678888526283424,"4344-55557-0139",38.147071,-2.859833,2008.8333,3,26.616,0.691,21.761,0.118,20.033,0.047,19.079,0.03,18.591,0.069,0.52322,10,-27,0
1,+,3,"J023311.64-025627.1",,1237679255746904776,"4344-55557-0138",38.298508,-2.940864,2008.9753,3,27.194,0.508,22.27,0.227,20.414,0.072,19.358,0.043,18.882,0.101,0.59897,,,0
1,+,3,"J023249.73-025131.5",,1237678888526348658,"4344-55557-0135",38.207215,-2.858771,2008.8333,3,23.067,0.789,22.242,0.165,20.812,0.075,19.84,0.046,19.299,0.103,0.62457,,,0
1,,3,"J023257.59-025100.0",,1237678888526348754,"4344-55557-0136",38.239991,-2.850005,2008.8333,3,22.452,1.014,19.981,0.06,18.352,0.019,17.758,0.017,17.427,0.043,0.33296,6,-5,0
1,+,3,"J023307.61-024851.9",,1237678888526348930,"4344-55557-0101",38.281745,-2.814418,2008.8333,3,23.111,0.696,22.222,0.118,20.631,0.053,19.616,0.032,19.054,0.069,0.52371,,,0
1,+,3,"J023252.55-025021.0",,1237678888526348691,"4344-55557-0118",38.218983,-2.839166,2008.8333,3,23.044,0.887,20.832,0.05,19.107,0.02,18.45,0.017,17.978,0.038,0.36782,13,6,0
1,+,3,"J023327.94-024434.8",,1237678888526413977,"4344-55557-0102",38.366419,-2.743024,2008.8333,3,25.264,2.111,20.247,0.037,18.543,0.016,17.898,0.013,17.44,0.03,0.33366,10,0,0
1,+,3,"J023307.44-024651.2",,1237678888526348931,"4343-55540-0485",38.281019,-2.780906,2008.8333,3,23.256,0.856,21.813,0.091,20.674,0.062,19.806,0.042,19.183,0.087,0.62259,8,-10,0
1,+,3,"J023303.76-024637.0",,1237678888526348430,"4344-55557-0110",38.265694,-2.776959,2008.8333,3,22.148,0.49,19.428,0.019,17.968,0.01,17.455,0.009,17.05,0.02,0.24351,-5,-7,0
1,+,3,"J023024.67-031436.9",,1237678887989215874,"4344-55557-0253",37.602795,-3.243602,2008.8333,3,25.431,1.567,21.744,0.123,20.392,0.064,19.372,0.039,18.798,0.086,0.58449,,,0
