OzDES,RAJ2000,DEJ2000,z,Flag,types
"OzDES_007397",54.832542,-27.201889,0.37038,4,"AGN_reverberation"
"OzDES_000444",54.812542,-27.196861,0.37262,3,"Photo-z"
"OzDES_007401",54.823333,-27.181833,0.78778,3,"LRG"
"OzDES_007403",54.794417,-27.175389,1.00027,3,"AGN_reverberation"
"OzDES_007412",54.883375,-27.15025,0.41511,4,"LRG"
"OzDES_007415",54.82275,-27.170472,0.11097,4,"BrightGalaxy"
"OzDES_007410",54.807875,-27.157889,0.11154,3,"BrightGalaxy"
"OzDES_007419",54.818417,-27.155583,0.11088,4,"BrightGalaxy"
"OzDES_007409",54.937667,-27.159972,0.47448,4,"ELG"
"OzDES_006781",54.993,-27.137028,0.17639,4,"BrightGalaxy"
"OzDES_007427",54.890542,-27.106472,0.92674,3,"ELG"
"OzDES_007444",54.885917,-27.086167,0.23459,4,"LRG"
"OzDES_007450",54.947625,-27.069667,0.16168,4,"BrightGalaxy"
"OzDES_007455",54.897667,-27.062833,0.11052,3,"BrightGalaxy"
"OzDES_007411",54.796667,-27.151611,0.7518,3,"ELG"
"OzDES_007414",54.802667,-27.148444,0.11067,4,"BrightGalaxy"
"OzDES_007424",54.789625,-27.115722,0.7452,4,"LRG"
"OzDES_007439",54.738542,-27.088222,0.21595,4,"BrightGalaxy"
"OzDES_007445",54.76025,-27.080972,0.21608,4,"BrightGalaxy"
"OzDES_007459",54.754333,-27.037472,0.75321,3,"LRG"
"OzDES_007437",54.846042,-27.098444,0.13263,4,"BrightGalaxy"
"OzDES_007443",54.870542,-27.083333,0.0584,3,"BrightGalaxy"
"OzDES_007448",54.884042,-27.07275,0.0585,4,"BrightGalaxy"
"OzDES_007451",54.809708,-27.06375,0.35004,3,"RedMaGiC"
"OzDES_000403",54.839167,-27.061306,0.22217,4,"Photo-z"
"OzDES_007453",54.880667,-27.063194,0.11073,4,"BrightGalaxy"
"OzDES_000404",54.873958,-27.049917,0.46237,4,"Photo-z"
"OzDES_007484",54.830375,-26.984361,0.10483,4,"BrightGalaxy"
"OzDES_006799",54.994042,-27.066556,0.86146,3,"LRG"
"OzDES_006803",55.007792,-27.026722,1.81931,4,"AGN_monitoring"
"OzDES_006804",54.95625,-27.02475,0.56088,3,"LRG"
"OzDES_002399",54.955667,-27.010083,-9.0E-4,6,"FStar"
"OzDES_006806",54.97225,-27.014833,2.40989,4,"AGN_monitoring"
"OzDES_000405",55.004417,-27.00675,0.41587,4,"Photo-z"
"OzDES_006812",55.051375,-26.9875,5.1E-4,4,"AGN_reverberation"
"OzDES_000375",55.147292,-26.920028,0.7847,4,"Photo-z"
"OzDES_006816",55.0465,-26.946083,0.08533,4,"BrightGalaxy"
"OzDES_006823",55.129792,-26.922611,0.92334,3,"ELG"
"OzDES_006808",54.963708,-26.995278,0.66923,4,"LRG"
"OzDES_007479",54.918125,-26.977944,5.0E-5,3,"ELG"
"OzDES_006815",55.010042,-26.942,0.65751,3,"LRG"
"OzDES_006822",54.999958,-26.933833,0.21609,4,"BrightGalaxy"
"OzDES_006820",55.003583,-26.930944,0.21594,3,"BrightGalaxy"
"OzDES_006817",54.962625,-26.939528,0.78871,3,"LRG"
"OzDES_006826",54.951375,-26.907361,0.4146,4,"ClusterGalaxy"
"OzDES_000370",54.945125,-26.898722,0.41559,4,"Photo-z"
"OzDES_007519",54.936542,-26.890722,0.11349,4,"BrightGalaxy"
"OzDES_007525",54.917542,-26.87425,0.33013,4,"LRG"
"OzDES_006827",55.029958,-26.916583,0.1734,4,"BrightGalaxy"
"OzDES_006824",55.019458,-26.919556,1.09979,3,"ELG"
"OzDES_006828",55.052917,-26.898861,0.32777,4,"BrightGalaxy"
"OzDES_000373",55.035792,-26.882139,0.32868,4,"Photo-z"
"OzDES_006830",55.052583,-26.876167,0.84161,4,"ELG"
"OzDES_006835",55.037625,-26.85275,0.66014,4,"LRG"
"OzDES_006840",55.059583,-26.817306,2.03391,4,"AGN_monitoring"
"OzDES_000012",55.028833,-26.813389,-2.0E-5,6,"Tertiary"
"OzDES_007431",54.6595,-27.10375,2.34407,4,"AGN_monitoring"
"OzDES_007449",54.668083,-27.063083,0.99162,3,"ELG"
"OzDES_007457",54.718125,-27.040667,0.64732,3,"LRG"
"OzDES_007461",54.686083,-27.038833,0.19676,4,"BrightGalaxy"
"OzDES_007460",54.637708,-27.04625,0.19605,4,"BrightGalaxy"
"OzDES_007463",54.659667,-27.025611,0.12353,4,"BrightGalaxy"
"OzDES_007467",54.686417,-27.009861,5.0E-5,4,"AGN_reverberation"
"OzDES_000402",54.766958,-26.987861,0.23274,4,"Photo-z"
"OzDES_007485",54.780083,-26.970361,0.19299,4,"BrightGalaxy"
"OzDES_007475",54.720333,-26.987306,0.38141,4,"LRG"
"OzDES_007487",54.79075,-26.955194,0.38162,4,"LRG"
"OzDES_007490",54.794583,-26.951444,0.71873,3,"LRG"
"OzDES_007496",54.837792,-26.93975,-4.2E-4,6,"ELG"
"OzDES_007491",54.775917,-26.956667,0.05837,4,"BrightGalaxy"
"OzDES_007492",54.765792,-26.945806,1.46865,4,"AGN_monitoring"
"OzDES_007494",54.732792,-26.941306,9.8E-4,6,"BrightGalaxy"
"OzDES_007503",54.772958,-26.897722,0.58364,4,"LRG"
"OzDES_007486",54.537417,-26.959,0.0,4,"AGN_reverberation"
"OzDES_000366",54.595417,-26.914667,0.23148,4,"Photo-z"
"OzDES_007504",54.635583,-26.904,3.3E-4,4,"AGN_reverberation"
"OzDES_007506",54.635583,-26.902417,-6.0E-5,6,"AGN_reverberation"
"OzDES_007546",54.706375,-26.843694,0.211,3,"BrightGalaxy"
"OzDES_007527",54.635417,-26.866944,0.68693,4,"ClusterGalaxy"
"OzDES_007534",54.6235,-26.853083,0.53357,4,"LRG"
"OzDES_000368",54.691583,-26.8255,0.4611,4,"Photo-z"
"OzDES_007559",54.631625,-26.816361,0.11071,3,"BrightGalaxy"
"OzDES_007556",54.667708,-26.816028,0.0,4,"ELG"
"OzDES_007499",54.828875,-26.926861,0.90152,4,"LRG"
"OzDES_007502",54.818042,-26.898972,0.88467,3,"ELG"
"OzDES_007521",54.848042,-26.874861,1.38164,4,"AGN_monitoring"
