Num,Name,RAJ2000,DEJ2000,z,f_z,imag,UmagC,e_UmagC,BmagC,e_BmagC,VmagC,e_VmagC,RmagC,e_RmagC,ImagC,e_ImagC
29058,"VVDS-J033244.48-274514.3",53.1853432,-27.7539917,0.26,4,23.6325,25.0525,0.0628,23.9378,0.0282,23.7904,0.0535,23.1871,0.032,23.6325,0.0691
28639,"VVDS-J033239.29-274532.6",53.1637244,-27.759081,1.0388,2,22.2382,25.8005,0.1406,24.6863,0.0584,24.5111,0.1072,23.3697,0.052,22.2382,0.0393
29071,"VVDS-J033243.22-274457.2",53.1800887,-27.7492413,0.5487,4,20.169,22.7623,0.019,21.8773,0.0082,21.5171,0.0154,20.6341,0.007,20.169,0.0079
29337,"VVDS-J033240.99-274504.4",53.1708097,-27.7512296,0.8268,2,23.4328,25.4466,0.0922,24.7129,0.0448,24.0897,0.0875,23.7862,0.0491,23.4328,0.059
29625,"VVDS-J033240.38-274453.2",53.1682705,-27.7481269,1.4379,2,22.8354,25.0359,0.0905,24.1748,0.0387,23.4806,0.0599,23.0419,0.0324,22.8354,0.0473
29313,"VVDS-J033242.11-274458.5",53.1754874,-27.7496073,1.0966,2,23.0662,24.5009,0.0527,24.0538,0.0321,23.7855,0.0708,23.5008,0.0479,23.0662,0.0602
28996,"VVDS-J033246.59-274516.5",53.1941433,-27.7545958,0.8394,4,22.8615,24.1395,0.035,23.562,0.0197,23.5551,0.049,23.1482,0.0327,22.8615,0.0433
29047,"VVDS-J033246.87-274513.8",53.1952937,-27.7538411,0.838,2,22.2337,24.7696,0.0718,24.0173,0.0328,23.6236,0.0657,22.9938,0.0337,22.2337,0.0338
29376,"VVDS-J033248.56-274504.8",53.2023626,-27.7513586,1.1133,2,22.9103,26.7558,0.2901,25.8434,0.0965,25.501,0.2141,23.8514,0.0655,22.9103,0.0502
29072,"VVDS-J033246.01-274512.9",53.1917233,-27.7535915,0.8372,4,23.2771,24.9627,0.0633,24.2516,0.0315,24.1235,0.0706,23.6758,0.0447,23.2771,0.0553
29211,"VVDS-J033244.69-274510.9",53.1862217,-27.7530501,1.4157,2,23.4352,26.3224,0.1908,25.1609,0.0639,24.806,0.1378,24.1978,0.075,23.4352,0.0819
29615,"VVDS-J033250.04-274447.9",53.2085237,-27.7466663,1.1037,1,23.0892,24.8049,0.0864,23.6267,0.0272,23.583,0.0626,23.3462,0.0498,23.0892,0.0808
75367,"VVDS-J033251.15-274431.8",53.2131466,-27.7421823,0.5343,4,21.4565,27.0095,,24.5564,0.0444,23.5402,0.0572,22.3489,0.0188,21.4565,0.0162
75424,"VVDS-J033251.57-274430.9",53.2148759,-27.7419375,0.2183,22,22.1185,27.0095,,27.3138,0.1652,25.9514,,23.3358,0.0844,22.1185,0.0754
29589,"VVDS-J033249.20-274436.1",53.2050333,-27.7433864,0.2164,3,19.7011,21.8439,0.0095,20.6624,0.0035,20.1766,0.0062,19.9024,0.0048,19.7011,0.0065
30085,"VVDS-J033248.98-274429.4",53.2041056,-27.7415043,0.2162,4,21.6537,23.3399,0.0231,22.2709,0.01,21.9583,0.0192,21.8121,0.0143,21.6537,0.0216
93718,"VVDS-J033249.87-274408.5",53.2077954,-27.7357117,1.2256,9,22.9618,27.0095,,27.3138,,24.6082,0.1489,23.4513,0.0501,22.9618,0.0635
29316,"VVDS-J033243.96-274503.7",53.1832075,-27.7510423,0.5328,3,22.4852,24.5576,0.0511,23.6755,0.0243,23.2746,0.0477,22.6269,0.0234,22.4852,0.0357
75812,"VVDS-J033243.07-274417.5",53.1794584,-27.7382022,9.9999,0,23.6554,27.0095,,26.5467,0.1905,25.9514,,24.6747,0.1013,23.6554,0.1027
30707,"VVDS-J033243.69-274408.9",53.1820496,-27.7358324,1.0861,3,23.4192,24.9009,0.064,24.4646,0.0417,24.3419,0.096,24.1639,0.071,23.4192,0.0871
76386,"VVDS-J033248.04-274346.7",53.2001758,-27.7296442,1.0924,2,23.2599,27.0095,,25.8129,0.1177,25.8855,0.2921,24.2559,0.0875,23.2599,0.0718
75892,"VVDS-J033245.84-274407.9",53.1910114,-27.7355509,0.536,4,21.1869,27.0095,,24.1623,0.0318,23.3011,0.0427,22.0603,0.0153,21.1869,0.0147
31304,"VVDS-J033246.68-274347.4",53.1945013,-27.7298453,0.1946,3,22.9278,24.8803,0.0759,24.0784,0.0369,25.9514,,23.2014,0.0438,22.9278,0.054
29512,"VVDS-J033237.40-274457.2",53.1558727,-27.7492272,1.6164,1,23.4207,25.6038,0.1286,24.2985,0.0355,23.672,0.057,23.1663,0.0371,23.4207,0.0682
74793,"VVDS-J033234.86-274503.8",53.1452749,-27.7510747,1.1737,1,23.3148,27.0095,,24.8123,0.047,23.9205,0.0672,23.313,0.0388,23.3148,0.0725
29895,"VVDS-J033239.50-274440.1",53.1646131,-27.7444899,0.6812,3,23.7462,24.657,0.0541,24.1815,0.0333,24.0983,0.0837,23.9328,0.0554,23.7462,0.0877
30471,"VVDS-J033240.04-274418.9",53.166866,-27.7385837,0.5218,4,20.6512,24.415,0.0512,23.1222,0.0162,22.3772,0.023,21.2518,0.0092,20.6512,0.0106
29915,"VVDS-J033238.15-274433.4",53.1589654,-27.7426339,1.2106,1,22.2505,25.094,0.0921,23.7537,0.0324,23.5515,0.0622,23.0691,0.0408,22.2505,0.0367
30290,"VVDS-J033235.35-274419.3",53.1473074,-27.7387012,1.2244,2,23.1332,24.165,0.0543,23.9268,0.033,23.8401,0.0709,23.3331,0.0513,23.1332,0.0644
30138,"VVDS-J033233.49-274430.5",53.1395505,-27.7418156,0.1443,2,22.0375,24.0229,0.0461,22.738,0.0148,22.4285,0.0271,22.1217,0.0211,22.0375,0.0339
30769,"VVDS-J033233.83-274410.1",53.1409749,-27.7361605,0.6665,4,21.2523,25.6227,0.1033,24.3566,0.0386,23.3651,0.0462,22.3376,0.0195,21.2523,0.0154
30255,"VVDS-J033236.03-274424.0",53.1501615,-27.7400214,1.0373,3,22.1657,23.7078,0.0293,23.2378,0.0173,22.9618,0.0375,22.6548,0.0265,22.1657,0.0299
30825,"VVDS-J033236.72-274406.6",53.1530311,-27.7351756,0.6657,4,21.7222,25.8251,0.1229,24.5031,0.045,23.6511,0.055,22.6377,0.0261,21.7222,0.0232
30983,"VVDS-J033237.09-274402.3",53.1545632,-27.7339808,1.4481,9,23.6407,26.6158,0.1911,25.8529,0.0971,25.0244,0.1291,24.2236,0.0712,23.6407,0.0857
30935,"VVDS-J033234.58-274404.7",53.1441147,-27.7346531,0.9372,2,23.879,26.5271,0.1662,26.0512,0.122,25.2471,0.1478,24.8628,0.1121,23.879,0.1051
31044,"VVDS-J033235.54-274357.3",53.1480864,-27.7326087,0.5471,4,23.472,24.5988,0.0481,24.0858,0.0282,23.8454,0.0601,23.1934,0.0361,23.472,0.0747
30473,"VVDS-J033240.98-274419.1",53.170769,-27.7386546,0.3136,2,22.732,24.865,0.0588,23.8412,0.0243,23.1612,0.0367,22.8495,0.026,22.732,0.0389
