recno,SeqNum,Name,UKST,RAJ2000,DEJ2000,Bjmag,Bjsel,z,q_z,n_z,SNR
70982,101573,"TGS323Z075",418,53.45741666666666,-28.827499999999997,16.997,16.963,0.0837,4,2,7.3
70990,101590,"TGS323Z082",418,53.40516666666666,-28.84833333333333,18.963,18.928,0.112,3,1,5.9
70976,101560,"TGS323Z071",418,53.50908333333333,-28.794138888888885,18.803,18.77,0.1483,4,1,10.9
70989,101589,"TGS322Z005",418,53.41720833333333,-28.756416666666663,18.445,18.413,0.0936,5,1,18.4
70993,101595,"TGS322Z007",418,53.383666666666656,-28.74041666666666,19.397,19.366,0.0732,4,2,6.7
72386,103351,"TGS323Z200",418,54.141124999999995,-29.20755555555555,18.476,18.437,0.0689,4,2,8.0
72380,103339,"TGS324Z310",418,54.16199999999999,-29.16544444444444,19.298,19.259,0.1974,4,1,16.8
72357,103303,"TGS324Z300",418,54.28370833333332,-29.165138888888883,17.283,17.244,0.0693,5,1,35.2
72364,103312,"TGS324Z305",418,54.26262499999999,-29.158166666666663,18.728,18.69,0.0686,5,1,13.1
72356,103302,"TGS324Z299",418,54.28670833333332,-29.118666666666662,16.745,16.706,0.0688,5,1,34.7
72367,103320,"TGS323Z199",418,54.22687499999999,-29.100888888888885,18.824,18.786,0.105,4,1,6.5
72417,103395,"TGS323Z201",418,54.044374999999995,-29.09708333333333,19.049,19.011,0.1999,3,1,10.3
72391,103357,"TGS324Z313",418,54.12079166666666,-29.121388888888884,17.833,17.793,0.1231,4,2,7.3
70864,101307,"TGS323Z004",418,54.15954166666666,-29.044277777777772,19.353,19.315,0.1178,3,1,6.6
70873,101334,"TGS323Z009",418,54.10895833333333,-29.027499999999996,17.615,17.578,0.1214,5,1,30.9
70872,101333,"TGS323Z008",418,54.09983333333333,-29.012972222222217,19.114,19.078,,1,3,7.0
70839,101211,"TGS324Z149",418,54.351208333333325,-29.08266666666666,18.331,18.288,0.1979,5,1,24.4
70847,101239,"TGS324Z160",418,54.29749999999999,-29.067999999999994,18.856,18.815,0.0688,4,1,18.1
70860,101287,"TGS323Z002",418,54.19941666666666,-29.00372222222222,19.255,19.212,0.2016,4,1,5.8
70855,101271,"TGS324Z169",418,54.22537499999999,-29.00305555555555,18.75,18.705,0.0692,5,1,26.1
70853,101263,"TGS324Z166",418,54.23924999999999,-28.937527777777774,18.665,18.617,0.1221,5,1,23.3
70859,101286,"TGS323Z001",418,54.212333333333326,-28.936499999999995,17.674,17.628,-1.0E-4,4,1,17.7
70858,101285,"TGS324Z172",418,54.21070833333333,-28.927472222222217,18.218,18.172,0.059,4,2,7.7
70842,101219,"TGS324Z153",418,54.32437499999999,-28.948694444444442,18.633,18.586,0.0584,4,1,8.4
70834,101198,"TGS324Z142",418,54.38920833333333,-28.88633333333333,18.602,18.559,0.1018,4,1,12.4
70844,101229,"TGS324Z155",418,54.30804166666666,-28.874472222222217,19.168,19.122,-1.0E-4,5,1,15.6
70888,101367,"TGS323Z015",418,53.992124999999994,-29.03094444444444,18.665,18.632,,1,3,0.6
70876,101340,"TGS323Z010",418,54.07845833333332,-29.02466666666666,18.877,18.842,0.1226,4,1,14.7
70884,101354,"TGS324Z185",418,54.04599999999999,-29.008111111111106,18.984,18.951,0.0681,4,3,4.1
