Num,Name,RAJ2000,DEJ2000,imag,z,f_z
20091995,"VVDS-J022735.56-044825.4",36.8981911,-4.8070591,23.5504,9.9999,0
20091747,"VVDS-J022733.71-044827.8",36.8904734,-4.8077439,24.5428,9.9999,20
20091821,"VVDS-J022733.30-044827.5",36.8887579,-4.807646,23.1534,0.6127,4
20093354,"VVDS-J022734.09-044817.4",36.8920657,-4.8048363,21.9605,9.9999,0
20089019,"VVDS-J022740.05-044853.6",36.9169152,-4.8149146,23.1575,1.0235,4
20089838,"VVDS-J022740.43-044843.4",36.9184982,-4.8120667,25.0453,4.7773,21
20089981,"VVDS-J022740.84-044843.6",36.9201831,-4.8121184,23.6458,9.9999,0
20092563,"VVDS-J022739.24-044819.1",36.9135256,-4.8053333,23.9798,0.9898,9
20097733,"VVDS-J022743.41-044743.7",36.9308948,-4.7954814,19.64,0.4778,3
20094019,"VVDS-J022740.61-044806.7",36.9192468,-4.8018618,23.6126,1.16,1
20093311,"VVDS-J022736.90-044815.6",36.9037587,-4.8043425,21.8737,0.6134,4
20093909,"VVDS-J022736.14-044811.8",36.9006183,-4.8032935,22.9413,9.9999,0
20099119,"VVDS-J022739.08-044725.1",36.9128599,-4.7903176,22.1666,0.9757,4
20101638,"VVDS-J022739.89-044659.9",36.9162497,-4.7833275,23.586,0.4195,1
20101948,"VVDS-J022739.53-044657.5",36.9147474,-4.7826619,23.8427,2.8063,1
20086400,"VVDS-J022810.50-044912.9",37.0437708,-4.820269,23.7313,0.9911,3
20087888,"VVDS-J022817.29-044900.9",37.0720682,-4.8169273,23.5797,1.5587,1
20088101,"VVDS-J022815.06-044901.1",37.0627539,-4.8169746,21.6534,0.9129,4
20087045,"VVDS-J022811.89-044909.4",37.049564,-4.8192954,23.3084,1.4133,2
20087095,"VVDS-J022812.93-044910.9",37.053903,-4.8196967,22.1329,1.0689,2
20087922,"VVDS-J022812.37-044903.5",37.0515554,-4.8176464,22.7932,0.2423,4
20090229,"VVDS-J022814.46-044841.6",37.0602864,-4.8115647,22.5333,0.9124,4
20090608,"VVDS-J022816.83-044838.5",37.0701517,-4.8107114,22.0344,0.9114,4
20094737,"VVDS-J022816.34-044802.4",37.0681194,-4.8006712,22.2629,1.0258,4
20086693,"VVDS-J022805.25-044913.2",37.0219147,-4.8203599,22.5644,0.887,2
20086823,"VVDS-J022808.82-044912.8",37.0367758,-4.8202326,22.3728,0.1292,2
20086495,"VVDS-J022803.55-044913.2",37.014799,-4.8203501,23.1321,0.8795,3
20089209,"VVDS-J022802.98-044913.2",37.0124234,-4.8203537,20.3098,0.8815,4
20086740,"VVDS-J022804.06-044913.1",37.0169169,-4.8203133,22.3708,0.7763,4
20087676,"VVDS-J022801.89-044902.9",37.0079109,-4.8174915,23.3053,0.8979,2
20087576,"VVDS-J022801.78-044902.8",37.0074173,-4.8174455,23.0163,9.9999,20
20088674,"VVDS-J022802.36-044855.0",37.0098685,-4.815289,23.6762,9.9999,0
20090736,"VVDS-J022805.83-044834.7",37.0243313,-4.8096665,23.9155,9.9999,0
20091364,"VVDS-J022807.68-044832.8",37.0320337,-4.809128,23.1674,1.496,2
20086996,"VVDS-J022759.79-044909.4",36.9991643,-4.819294,23.4875,0.3849,2
20089766,"VVDS-J022756.86-044843.3",36.9869413,-4.8120482,23.624,1.4056,1
20090447,"VVDS-J022757.91-044839.6",36.9913312,-4.8110238,23.5243,1.4662,1
20087781,"VVDS-J022751.95-044902.1",36.9664805,-4.817252,23.0458,0.9909,9
20090486,"VVDS-J022754.22-044840.8",36.9759538,-4.811334,21.9077,0.989,2
20092027,"VVDS-J022755.38-044827.0",36.9807794,-4.8075032,23.1532,9.9999,0
20088097,"VVDS-J022800.81-044858.6",37.0034096,-4.8162951,23.5281,1.4335,1
20093033,"VVDS-J022801.32-044818.7",37.0055226,-4.8052151,22.0954,0.67,2
20094354,"VVDS-J022758.84-044815.7",36.9951979,-4.8043614,18.9775,0.2105,4
20093999,"VVDS-J022757.37-044811.5",36.9890642,-4.803213,21.9997,0.6037,3
20099415,"VVDS-J022800.34-044719.1",37.0014316,-4.7886477,23.615,2.705,1
20090383,"VVDS-J022811.22-044859.6",37.0467504,-4.8165558,19.2307,0.2293,4
20095220,"VVDS-J022813.92-044756.7",37.058006,-4.799109,23.4558,3.4415,2
20095046,"VVDS-J022808.40-044756.7",37.0350161,-4.7991087,23.941,1.6905,2
20095526,"VVDS-J022809.99-044800.1",37.0416329,-4.8000459,21.1606,0.1409,4
20094572,"VVDS-J022806.61-044802.2",37.0275635,-4.8006253,23.3933,0.9197,4
20096372,"VVDS-J022807.06-044747.1",37.029453,-4.7964247,23.1009,9.9999,0
20101934,"VVDS-J022810.72-044656.5",37.0446792,-4.782376,23.8839,0.6271,2
20097910,"VVDS-J022815.57-044733.8",37.0649139,-4.7927281,23.1309,0.9204,4
20103086,"VVDS-J022817.35-044646.6",37.0723076,-4.7796265,23.3075,0.9746,4
20102904,"VVDS-J022812.41-044648.4",37.0517366,-4.780133,23.2172,0.6699,2
20105704,"VVDS-J022815.05-044628.4",37.0627483,-4.7745637,22.1002,0.9826,4
20110779,"VVDS-J022816.29-044548.3",37.0678907,-4.7634326,21.7637,0.3743,4
20102602,"VVDS-J022804.44-044651.1",37.0185409,-4.7808774,23.7277,0.8744,4
20104307,"VVDS-J022803.06-044641.9",37.0127822,-4.7783282,23.5201,2.4337,1
20103621,"VVDS-J022805.37-044642.3",37.0224143,-4.7784192,23.9786,1.062,2
20106772,"VVDS-J022805.91-044619.2",37.024631,-4.7720206,22.4588,1.0615,4
20104831,"VVDS-J022811.29-044632.6",37.0470717,-4.775747,23.8283,0.2957,1
20106372,"VVDS-J022813.17-044618.7",37.0548941,-4.771888,23.3289,1.3189,2
20111336,"VVDS-J022813.78-044542.3",37.0574409,-4.7617504,21.7688,0.2779,4
20111005,"VVDS-J022808.45-044542.5",37.0352237,-4.7618184,23.3425,3.0132,2
20112302,"VVDS-J022810.00-044536.2",37.0417009,-4.76007,20.7065,0.6112,4
20113042,"VVDS-J022809.00-044526.6",37.0375105,-4.7574002,23.8457,0.6439,4
20113208,"VVDS-J022811.75-044528.9",37.048998,-4.7580417,20.9939,0.9607,4
20089262,"VVDS-J022749.39-044846.7",36.9557964,-4.8129825,25.6182,9.9999,20
20089592,"VVDS-J022749.62-044846.1",36.9567737,-4.8128209,22.4151,0.5874,1
20091262,"VVDS-J022751.36-044837.6",36.9640226,-4.8104608,20.6567,0.5909,2
20092764,"VVDS-J022748.11-044819.6",36.9504619,-4.8054559,23.1375,1.0121,2
20095224,"VVDS-J022750.64-044801.1",36.9610292,-4.800312,21.376,9.9999,0
20096563,"VVDS-J022748.40-044746.8",36.9516836,-4.7963585,21.7394,9.9999,20
20096747,"VVDS-J022748.66-044745.9",36.9527875,-4.7960976,21.664,0.4803,3
20102807,"VVDS-J022750.23-044652.7",36.9593122,-4.7813206,22.4371,0.7091,2
20105643,"VVDS-J022756.91-044626.9",36.987154,-4.7741597,23.3582,0.5246,2
20105787,"VVDS-J022757.91-044625.3",36.9912982,-4.7737066,23.1536,0.9582,2
20100894,"VVDS-J022741.60-044711.6",36.9233382,-4.7865557,23.1463,0.3705,2
20100907,"VVDS-J022742.05-044705.7",36.9252432,-4.7849283,23.5617,1.2682,1
20101106,"VVDS-J022742.33-044706.1",36.9263862,-4.7850359,22.7049,9.9999,20
20100267,"VVDS-J022741.30-044713.1",36.9221192,-4.7869982,23.7042,9.9999,0
20101053,"VVDS-J022741.05-044705.1",36.921065,-4.7847555,23.8895,0.8912,4
20104048,"VVDS-J022741.87-044643.2",36.9244872,-4.7786911,21.092,0.525,3
20105061,"VVDS-J022742.46-044632.5",36.9269582,-4.7757024,22.9218,9.9999,0
